61	anti b	74.1	9.24	4.05	74.9004
62	b	8.96	-26.66	10.73	30.3915
62	anti b	7.04	-35.34	26.27	44.7891
63	b	17.6	4.5	37.35	41.7433
63	anti b	26.4	70.5	45.65	88.1397
64	b	3.5	0	-33.6	34.0394
64	anti b	46.5	42	-22.4	66.6745
65	b	-44.72	28.16	-76.63	93.1799
65	anti b	-41.28	3.84	-2.37	41.7358
66	b	-96.03	-7.25	9.12	96.8244
66	anti b	-2.97	-21.75	47.88	52.838
67	T 	9.7	2.6	-0.48	10.2095
67	anti T	0.3	1.4	-0.52	2.33978
68	W 	-16.34	-4.14	-5.28	82.298
68	anti W	-26.66	-1.86	-16.72	86.3407
69	b	63.99	51.41	-32.55	88.4007
69	anti b	15.01	1.59	-60.45	62.446
70	b	22.8	8.88	-73.08	77.1807
70	anti b	34.2	28.12	-10.92	45.794
71	b	60.03	-48.23	15.47	78.6545
71	anti b	26.97	-42.77	75.53	90.9885
72	b	-15.54	-35.91	-1.94	39.3987
72	anti b	-21.46	-21.09	-95.06	99.7958
73	b	0.16	6.9	7.2	10.8142
73	anti b	15.84	39.1	7.8	43.1048
74	b	25.48	-14.82	6.11	30.3919
74	anti b	0.52	-63.18	40.89	75.3754
75	b	-27.28	-8.28	4.8	29.2108
75	anti b	-34.72	-83.72	15.2	91.9947
76	b	-8.91	-3.08	-5.4	11.6407
76	anti b	-18.09	-24.92	-6.6	31.7693
77	b	6.65	11.06	-38	40.3487
77	anti b	88.35	2.94	-62	108.055
78	b	-40.12	-45.88	-41.58	73.8983
78	anti b	-27.88	-16.12	-21.42	38.9029
79	W 	25.42	-3.63	19.04	86.5033
79	anti W	36.58	-7.37	36.96	96.0177
80	b	-24.08	0	-61.41	66.0947
80	anti b	-18.92	28	-7.59	34.8862
81	b	-35.7	-15.48	28.86	48.626
81	anti b	-6.3	-2.52	8.14	11.3918
82	b	3.36	-26.32	0	26.8608
82	anti b	24.64	-20.68	23	39.7651
83	b	17.92	-13.72	-57.62	62.0234
83	anti b	46.08	-0.28	-9.38	47.2112
84	b	-66.22	-18.96	38.4	78.9722
84	anti b	-19.78	-5.04	25.6	33.0073
85	b	43.24	30.1	-41.86	67.4199
85	anti b	2.76	55.9	-49.14	74.5965
86	b	-36.66	-6.56	-45.36	58.8387
86	anti b	-57.34	-9.44	-10.64	59.2256
87	b	22.4	-15.81	-8.4	28.9784
87	anti b	47.6	-15.19	-5.6	50.4512
88	b	-23.8	3.8	11.02	26.829
88	anti b	-4.2	16.2	17.98	24.9165
89	b	-22.68	-32.9	-0.25	40.1787
89	anti b	-5.32	-37.1	-0.75	37.7193
90	W 	-6.75	12.69	3.48	81.7291
90	anti W	-68.25	14.31	0.52	106.415
91	b	-4.62	4.4	-75.84	76.2226
91	anti b	-6.38	83.6	-20.16	86.334
92	W 	5.4	19.38	-5.61	83.0491
92	anti W	48.6	31.62	-27.39	102.825
93	b	3.12	-37.26	-53.4	65.3228
93	anti b	35.88	-31.74	-35.6	59.83
94	b	42.72	-1.2	-74.4	85.9027
94	anti b	5.28	-8.8	-18.6	21.6507
95	Z 	-0.52	-38.22	41.5	107.233
95	anti Z	-0.48	-59.78	41.5	116.669
96	b	47.17	10.08	2	48.4571
96	anti b	41.83	37.92	23	61.1077
97	b	8.28	25.42	-55.5	61.7451
97	anti b	3.72	5.58	-19.5	21.0404
98	b	27.72	-62.25	15.81	70.0777
98	anti b	38.28	-20.75	1.19	43.7585
99	b	95.04	71.61	-55.44	131.346
99	anti b	0.96	5.39	-10.56	12.6079
100	W 	-48.6	-3.68	-10.08	94.5413
100	anti W	-11.4	-19.32	-3.92	83.5436
101	T 	-0	-4.98	-51.24	51.5121
101	anti T	-34	-78.02	-32.76	91.2113
102	W 	-13.34	35.52	4.08	88.9787
102	anti W	-32.66	12.48	12.92	88.6019
103	W 	16.28	-66.5	-29.48	109.623
103	anti W	27.72	-3.5	-37.52	93.0018
104	b	-11.18	8.55	18.9	23.9328
104	anti b	-31.82	48.45	26.1	63.7071
105	b	-71.28	40.42	0.88	82.054
105	anti b	-27.72	45.58	1.12	53.5225
106	b	-2.76	0.45	-64.86	65.0547
106	anti b	-3.24	0.55	-4.14	6.73885
107	W 	-18.7	-18.4	8.54	84.9831
107	anti W	-66.3	-27.6	5.46	107.927
108	W 	47.12	-4.42	56.12	108.859
108	anti W	14.88	-8.58	4.88	82.3395
109	b	-25.6	-0.91	-30.24	39.8512
109	anti b	-54.4	-90.09	-23.76	107.97
110	b	2	-11.4	-56.8	58.1177
110	anti b	38	-8.6	-23.2	45.5376
111	b	-18.9	-11.6	18.27	29.0351
111	anti b	-51.1	-17.4	44.73	70.2297
112	W 	-13.6	-1.92	-26.88	85.8611
112	anti W	-6.4	-2.08	-15.12	82.0661
113	b	-51.24	41.28	-6.37	66.2392
113	anti b	-9.76	54.72	-42.63	70.1735
114	W 	-83.52	-8.61	-25.38	118.974
114	anti W	-3.48	-32.39	-21.62	89.3845
115	W 	17	-32.64	-37.35	95.9705
115	anti W	3	-1.36	-7.65	80.8104
116	W 	6.72	-4.41	15.6	82.2734
116	anti W	25.28	-58.59	36.4	108.893
117	b	-38.7	2.13	-15.12	41.8128
117	anti b	-4.3	68.87	-26.88	74.1726
118	b	39.1	-56.7	14.6	70.5289
118	anti b	45.9	-24.3	5.4	52.3826
119	b	-8.88	5.28	-0	11.1447
119	anti b	-3.12	82.72	-75	111.78
120	b	-15.96	0	-59.52	61.7643
120	anti b	-22.04	70	-4.48	73.6431
121	b	-13.2	28.7	-86.4	92.0889
121	anti b	-74.8	12.3	-9.6	76.5243
122	b	-18.17	27.2	28	43.2604
122	anti b	-60.83	57.8	7	84.3066
123	b	51.94	0	7	52.576
123	anti b	1.06	0	63	63.1474
124	b	-39.56	22.56	36.58	58.5621
124	anti b	-46.44	25.44	25.42	58.8856
125	b	6.79	27.72	4	29.12
125	anti b	90.21	71.28	46	123.904
126	W 	70.5	-56.7	19.2	122.535
126	anti W	23.5	-13.3	10.8	85.4794
127	T 	-6.7	-0.76	-20.74	21.8808
127	anti T	-3.3	-37.24	-40.26	54.9703
128	W 	26.04	-6.64	12.39	85.6541
128	anti W	66.96	-76.36	46.61	137.651
129	W 	-4.5	-14.43	-52.54	97.2104
129	anti W	-70.5	-24.57	-21.46	111.783
130	b	-18.36	12.9	67.45	71.2073
130	anti b	-8.64	30.1	27.55	41.9182
131	b	66.88	-13.3	11.22	69.2328
131	anti b	21.12	-24.7	5.78	33.272
132	W 	-56.16	38.22	-9.8	105.696
132	anti W	-15.84	39.78	-0.2	91.0733
133	Z 	-11.04	-2.36	43.16	101.518
133	anti Z	-57.96	-56.64	39.84	128.337
134	b	-7.15	0.84	20.16	21.8111
134	anti b	-57.85	27.16	3.84	64.16
135	b	7.68	15.98	-20.3	27.2746
135	anti b	8.32	1.02	-8.7	12.7838
136	b	-39.76	-13.35	-14.84	44.6853
136	anti b	-16.24	-1.65	-38.16	41.7147
137	b	0	-41.16	-16.1	44.394
137	anti b	30	-0.84	-18.9	35.7126
138	b	-25.92	-22	-53.68	63.6778
138	anti b	-1.08	-78	-7.32	78.4616
139	Z 	25.42	-11.85	-16.38	96.8014
139	anti Z	15.58	-3.15	-9.62	93.0635
140	b	11.88	-5.72	-7.56	15.7632
140	anti b	10.12	-20.28	-6.44	23.9299
141	b	35.1	-53.68	40.94	76.2044
